"aug_[[:lower:]]+_[[:upper:]]+"
syscall,EAGAIN,EINTR,ENOENT
accept,yes,yes,no
access,no,no,yes
bind,no,no,yes
chdir,no,yes,yes
close,no,yes,no
connect,yes,yes,no
dup,no,yes,no
dup2,no,yes,no
fcntl,yes,yes,no
fork,yes,no,no
fstat,no,yes,yes
ftruncate,yes,yes,no
lstat,no,no,yes
mmap,yes,no,no
munmap,yes,no,no
open,no,no,yes
poll,no,yes,no
read,yes,yes,no
readv,yes,yes,no
realpath,no,no,yes
recv,yes,yes,no
recvfrom,yes,yes,no
select,no,yes,no
send,yes,yes,no
sendto,yes,yes,no
sigaction,no,yes,no
unlink,no,no,yes
usleep,no,yes,no
write,yes,yes,no
writev,yes,yes,no

aug_accept_BI
aug_appendhttp_BIN
aug_bind_N
aug_clearfields_BIN
aug_connect_BI
aug_control_BIN
aug_createclient_BI
aug_createevents_BIN
aug_createmar_BIN
aug_createmmap_BIN
aug_daemonise_BIN
aug_delfieldn_BIN
aug_delfieldp_BIN
aug_destroymmap_B
aug_extractmar_BIN
aug_finishhttp_BIN
aug_fopen_N
aug_fread_BI
aug_freadv_BI
aug_fsetnonblock_BI
aug_fsize_IN
aug_ftruncate_BI
aug_fwrite_BI
aug_fwritev_BI
aug_httpfield_BIN
aug_initserv_BIN
aug_insertmar_BIN
aug_install_N
aug_mread_BI
aug_mread_BI
aug_msleep_I
aug_muxerpipe_BIN
aug_mwrite_BI
aug_mwrite_BI
aug_openlog_IN
aug_openmar_BIN
aug_pollmdevents_I
aug_processchan_BI
aug_processchans_BI
aug_putfield_BIN
aug_putfieldn_BIN
aug_putfieldp_BIN
aug_read_BI
aug_readfix_BI
aug_readopts_N
aug_readv_BI
aug_realpath_N
aug_recv_BI
aug_recvfrom_BI
aug_remmap_BIN
aug_send_BI
aug_sendto_BI
aug_setcontent_BIN
aug_socketpair_BIN
aug_sread_BI
aug_sreadv_BI
aug_ssetnonblock_BI
aug_start_N
aug_swrite_BI
aug_swritev_BI
aug_tcpclient_BI
aug_tcpserver_N
aug_truncatemar_BIN
aug_tryconnect_BI
aug_udpclient_BI
aug_udpserver_N
aug_vfopen_N
aug_waitmdevents_I
aug_write_BI
aug_writeevent_B
aug_writemar_BIN
aug_writesome_BI
aug_writev_BI
aug_xstrread_BI
